"gosterge","p","pencere","RMSE","MAE","secildi"
"ENFLASYON",12,36,4.77118764083824,2.98334234155083,FALSE
"ENFLASYON",12,42,4.23542067843226,2.791943210481,FALSE
"ENFLASYON",12,48,4.1843686426555,2.7815739931701,FALSE
"ENFLASYON",12,54,4.11355838725485,2.71250641763415,FALSE
"ENFLASYON",12,60,3.89131276625717,2.48459045381495,FALSE
"ENFLASYON",2,36,2.93184157772411,2.40500426245729,FALSE
"ENFLASYON",2,42,2.85178528120831,2.30532996579673,FALSE
"ENFLASYON",2,48,2.7507143518903,2.18394828276156,FALSE
"ENFLASYON",2,54,2.66443219488284,2.04937864483869,FALSE
"ENFLASYON",2,60,2.55627300049286,1.90072229402849,TRUE
"BUYUME",8,12,9.54165024897825,4.54903750953894,FALSE
"BUYUME",8,16,6.11656312503917,3.34143278440962,FALSE
"BUYUME",8,20,6.30496511829943,3.52583660905245,FALSE
"BUYUME",8,24,5.4921071100205,2.75454877973781,FALSE
"BUYUME",8,28,5.42989139707641,2.60135652661429,FALSE
"BUYUME",5,12,2.37323909879325,1.89836961428901,FALSE
"BUYUME",5,16,2.05099589252541,1.64312180666811,FALSE
"BUYUME",5,20,2.14003932060504,1.8531718906555,FALSE
"BUYUME",5,24,1.59203439125336,1.27721202757372,FALSE
"BUYUME",5,28,1.58956538083265,1.2475867680521,TRUE
"ISSIZLIK",5,36,0.505061663619831,0.427265748555969,FALSE
"ISSIZLIK",5,42,0.481966640934175,0.404349549958029,FALSE
"ISSIZLIK",5,48,0.484258864328577,0.404602062955425,FALSE
"ISSIZLIK",5,54,0.481527481835938,0.404186850602346,FALSE
"ISSIZLIK",5,60,0.505468694719716,0.440846472538554,FALSE
"ISSIZLIK",12,36,0.458399186728772,0.367606491326991,FALSE
"ISSIZLIK",12,42,0.455551449191385,0.351899737803198,FALSE
"ISSIZLIK",12,48,0.448315833462184,0.36208339566976,TRUE
"ISSIZLIK",12,54,0.476749472103548,0.400572269459727,FALSE
"ISSIZLIK",12,60,0.478832221396789,0.418957807027853,FALSE
"ISSIZLIK",9,36,0.491830004751899,0.403709586192567,FALSE
"ISSIZLIK",9,42,0.480708793922597,0.402430877541115,FALSE
"ISSIZLIK",9,48,0.472999698625746,0.405359059507836,FALSE
"ISSIZLIK",9,54,0.471850764714654,0.415547690923481,FALSE
"ISSIZLIK",9,60,0.48337378608848,0.430010841623001,FALSE
"USDTRY",11,36,0.484267568737477,0.333005224375396,FALSE
"USDTRY",11,42,0.476194340419815,0.314698461612942,FALSE
