"gosterge","tarih","tahmin","alt","ust"
"ENFLASYON",2026-09-01,32.7496069662911,24.6728477585861,40.826366173996
"ENFLASYON",2026-10-01,34.8208071946226,19.9584832278877,49.6831311613575
"ENFLASYON",2026-11-01,37.2535667152649,16.6374405630328,57.869692867497
"ENFLASYON",2026-12-01,39.7332764815424,14.6027129576728,64.8638400054121
"ENFLASYON",2027-01-01,42.0623860744049,13.5911882993632,70.5335838494466
"ENFLASYON",2027-02-01,44.1298899481161,13.3095474271619,74.9502324690702
"BUYUME",2026-04-01,3.81789877462714,-5.02799193713913,12.6637894863934
"BUYUME",2026-07-01,4.09420352344118,-5.3420296716415,13.5304367185239
"BUYUME",2026-10-01,4.71195591411547,-5.00542345683404,14.429335285065
"BUYUME",2027-01-01,5.18721738798682,-4.8351171876898,15.2095519636634
"BUYUME",2027-04-01,4.94484290099041,-5.29128335142951,15.1809691534103
"BUYUME",2027-07-01,5.0674743870623,-5.16961485549546,15.3045636296201
"ISSIZLIK",2026-08-01,8.39085356978568,7.58009505187191,9.20161208769945
"ISSIZLIK",2026-09-01,8.22988173890382,7.40223066855911,9.05753280924853
"ISSIZLIK",2026-10-01,7.9611487287186,7.12869938362753,8.79359807380968
"ISSIZLIK",2026-11-01,8.01076408168701,7.17831367621682,8.84321448715721
"ISSIZLIK",2026-12-01,7.88610066504651,7.04339613482435,8.72880519526866
"ISSIZLIK",2027-01-01,8.4073788617947,7.56038782301195,9.25436990057746
"USDTRY",2026-09-01,48.4630011457197,47.9587928914171,48.9672094000223
"USDTRY",2026-10-01,49.0503938299914,48.1987669431236,49.9020207168593
"USDTRY",2026-11-01,49.6447490461627,48.5622281467865,50.7272699455389
"USDTRY",2026-12-01,50.2512043643987,48.9977446815871,51.5046640472102
"USDTRY",2027-01-01,50.8613894973306,49.4619174406309,52.2608615540302
"USDTRY",2027-02-01,51.4714330371192,49.9385052863636,53.0043607878748
"BIST100",2026-10-01,13218.1147416083,11763.626132102,14672.6033511147
"BIST100",2026-11-01,13130.3426097077,11221.4182902669,15039.2669291484
"BIST100",2026-12-01,13131.7628437162,10851.1786486138,15412.3470388186
"BIST100",2027-01-01,13114.6304205866,10554.7321745653,15674.5286666078
"BIST100",2027-02-01,13104.2014800363,10317.2546954295,15891.148264643
"BIST100",2027-03-01,13092.9530212979,10118.989979757,16066.9160628387
"FAIZ",2026-08-01,36.9628217620619,33.7290098701523,40.1966336539715
"FAIZ",2026-09-01,36.9179645956425,31.8503145857754,41.9856146055097
"FAIZ",2026-10-01,36.8530818189613,29.2681511358561,44.4380125020666
"FAIZ",2026-11-01,36.780660359266,26.9210191625638,46.6403015559683
"FAIZ",2026-12-01,36.6978773764203,24.4888328778086,48.906921875032
"FAIZ",2027-01-01,36.6106935344892,22.2382132038161,50.9831738651623
"DIS_TICARET",2026-08-01,-5892.86922680373,-9995.35617330382,-1790.38228030364
"DIS_TICARET",2026-09-01,-6621.22162700287,-10820.2181523615,-2422.22510164429
"DIS_TICARET",2026-10-01,-6065.36313883321,-10325.0550750139,-1805.67120265256
"DIS_TICARET",2026-11-01,-6115.92216014022,-10571.4782750371,-1660.36604524335
"DIS_TICARET",2026-12-01,-6240.34391500786,-10736.4158939311,-1744.27193608461
"DIS_TICARET",2027-01-01,-6133.4794621529,-10654.9335320459,-1612.02539225991
"SANAYI_URETIM",2026-08-01,106.898435562308,94.8706724152715,118.926198709344
"SANAYI_URETIM",2026-09-01,113.34100056982,101.234486501088,125.447514638552
"SANAYI_URETIM",2026-10-01,108.912907094491,96.7790718036685,121.046742385313
"SANAYI_URETIM",2026-11-01,113.084317964229,100.902794242067,125.265841686392
"SANAYI_URETIM",2026-12-01,124.042427958524,111.860197248309,136.224658668738
"SANAYI_URETIM",2027-01-01,102.538389857395,90.2160138658909,114.860765848899
"TUKETICI_GUVEN",2026-09-01,89.8117117949383,83.7272125228998,95.8962110669768
