"gosterge","ad","rol","frekans","gozlem","ilk_tarih","son_tarih","gecikme_donem","eksik_donem_orani","sapan_sayisi","sapan_tarihleri"
"ENFLASYON","Enflasyon Oranı (TÜFE, yıllık %)","bagimli","aylik",248,2006-01-01,2026-08-01,1,0,21,"2018-09, 2018-11, 2019-09"
"BUYUME","Ekonomik Büyüme (reel GSYH, yıllık %)","bagimli","ceyreklik",101,2001-01-01,2026-01-01,2,0,7,"2001-04, 2002-01, 2002-04"
"ISSIZLIK","İşsizlik Oranı","bagimli","aylik",259,2005-01-01,2026-07-01,2,0,1,"2008-12"
"USDTRY","Döviz Kuru (USD/TRY)","bagimli","aylik",320,2000-01-01,2026-08-01,1,0,59,"2018-05, 2018-08, 2018-09"
"BIST100","Borsa Endeksi (BIST-100)","bagimli","aylik",321,2000-01-01,2026-09-01,0,0,49,"2020-03, 2020-11, 2020-12"
"FAIZ","TCMB Politika Faizi","kontrol","aylik",294,2002-02-01,2026-07-01,2,0,0,""
"DIS_TICARET","Dış Ticaret Dengesi","kontrol","aylik",319,2000-01-01,2026-07-01,2,0,17,"2015-01, 2018-08, 2020-08"
"SANAYI_URETIM","Sanayi Üretim Endeksi","kontrol","aylik",319,2000-01-01,2026-07-01,2,0,33,"2015-01, 2016-01, 2016-07"
"TUKETICI_GUVEN","Tüketici Güven Endeksi","kontrol","aylik",176,2012-01-01,2026-08-01,1,0,2,"2015-11, 2023-08"
"CARI_DENGE","Cari İşlemler Dengesi","ek","ceyreklik",66,2010-01-01,2026-04-01,1,0,0,""
"BUTCE_DENGESI","Bütçe Dengesi","ek","aylik",247,2006-01-01,2026-07-01,2,0,57,"2017-01, 2019-12, 2020-01"
"UFE","Üretici Fiyat Endeksi (ÜFE)","ek","aylik",320,2000-01-01,2026-08-01,1,0,79,"2017-01, 2018-05, 2018-06"
"M2","M2 Para Arzı","ek","aylik",319,2000-01-01,2026-07-01,2,0,82,"2005-12, 2017-10, 2018-05"
"REEL_KESIM_GUVEN","Reel Kesim Güven Endeksi","ek","aylik",237,2007-01-01,2026-09-01,0,0,9,"2008-10, 2008-11, 2009-04"
"KAPASITE_KULLANIM","Kapasite Kullanım Oranı","ek","aylik",237,2007-01-01,2026-09-01,0,0,11,"2008-11, 2008-12, 2009-01"
"GENC_ISSIZLIK","Genç İşsizlik Oranı","ek","yillik",26,2000-01-01,2025-01-01,1,0,0,""
"PERAKENDE_SATIS","Perakende Satış Hacim Endeksi","ek","ceyreklik",62,2011-01-01,2026-04-01,1,0,5,"2019-10, 2020-04, 2020-07"
"KONUT_FIYAT","Konut Fiyat Endeksi","ek","aylik",200,2010-01-01,2026-08-01,1,0,62,"2020-06, 2021-07, 2021-08"
"TURIZM_GELIRI","Turizm Gelirleri","ek","aylik",171,2012-01-01,2026-03-01,6,0,1,"2025-11"
"GINI","Gini Endeksi","ek","yillik",22,2002-01-01,2023-01-01,3,0,0,""
