"tarih","deger"
2006-01-01,1965374
2006-02-01,-2689921
2006-03-01,-1035119
2006-04-01,-2915022
2006-05-01,4160085
2006-06-01,1648732
2006-07-01,-1918937
2006-08-01,-104564
2006-09-01,-2344214
2006-10-01,-2458155
2006-11-01,3968410
2006-12-01,-4044962
2007-01-01,-5958349
2007-02-01,-2120950
2007-03-01,4564336
2007-04-01,-2208638
2007-05-01,1401059
2007-06-01,-2721748
2007-07-01,-5992886
2007-08-01,3340065
2007-09-01,-3710323
2007-10-01,-219869
2007-11-01,2541107
2007-12-01,-3405009
2008-01-01,-403733
2008-02-01,372099
2008-03-01,-5509037
2008-04-01,-308415
2008-05-01,3739963
2008-06-01,4077502
2008-07-01,-2750866
2008-08-01,5732608
2008-09-01,-9477211
2008-10-01,-289752
2008-11-01,-4515687
2008-12-01,-8539351
2009-01-01,-2872056
2009-02-01,-8505004
2009-03-01,-8944471
2009-04-01,-630888
2009-05-01,-547287
2009-06-01,-1931778
2009-07-01,-7323488
2009-08-01,-842872
2009-09-01,-9016716
2009-10-01,-3191042
2009-11-01,-3222338
2009-12-01,-6085076
2010-01-01,-2835052
2010-02-01,-3489169
2010-03-01,-5985807
2010-04-01,-4709211
2010-05-01,5991466
2010-06-01,-4750922
2010-07-01,-3678902
2010-08-01,3797997
2010-09-01,-6231768
2010-10-01,-3075254
2010-11-01,-384709
2010-12-01,-15970900
2011-01-01,1166527
2011-02-01,-1720122
2011-03-01,-5337203
2011-04-01,211225
2011-05-01,4742307
2011-06-01,3415622
2011-07-01,-6346565
2011-08-01,4209325
2011-09-01,-497697
2011-10-01,-4473000
2011-11-01,2677571
2011-12-01,-16984224
2012-01-01,1676758
2012-02-01,-4904464
2012-03-01,-3763242
2012-04-01,1573059
2012-05-01,3451730
2012-06-01,-5430434
2012-07-01,-340639
2012-08-01,-1102808
2012-09-01,-5509509
2012-10-01,-3609627
2012-11-01,5487665
2012-12-01,-17940838
2013-01-01,6268854
2013-02-01,-6487136
2013-03-01,-2905225
2013-04-01,1825744
2013-05-01,5350762
2013-06-01,-407514
2013-07-01,-506607
2013-08-01,-4190492
2013-09-01,-2572766
2013-10-01,-2452581
2013-11-01,4144166
2013-12-01,-18000128
2014-01-01,2670214
2014-02-01,-718995
2014-03-01,-4527090
2014-04-01,-1170192
2014-05-01,2197355
2014-06-01,-776674
2014-07-01,-5242266
2014-08-01,5182906
2014-09-01,-7916004
2014-10-01,-3480186
2014-11-01,3358449
2014-12-01,-12883280
2015-01-01,4726452
2015-02-01,-7902950
2015-03-01,-3689701
2015-04-01,3316337
2015-05-01,2397006
2015-06-01,2676932
2015-07-01,-4017341
2015-08-01,4423707
2015-09-01,-14238340
2015-10-01,6270703
2015-11-01,69296
2015-12-01,-19217481
2016-01-01,-3288974
2016-02-01,3230001
2016-03-01,-4564500
2016-04-01,8286247
2016-05-01,3178485
2016-06-01,-8006641
2016-07-01,513561
2016-08-01,6239698
2016-09-01,-14857607
2016-10-01,768095
2016-11-01,6705574
2016-12-01,-31057849
2017-01-01,13023775
2017-02-01,-14557823
2017-03-01,-16792545
2017-04-01,2308126
2017-05-01,8680096
2017-06-01,-12668443
2017-07-01,157771
2017-08-01,-334286
2017-09-01,-7146447
2017-10-01,-3839688
2017-11-01,10176927
2017-12-01,-28307427
2018-01-01,3275049
2018-02-01,-4665865
2018-03-01,-22217565
2018-04-01,4510687
2018-05-01,1981913
2018-06-01,-24201886
2018-07-01,2608216
2018-08-01,-3609472
2018-09-01,-5692472
2018-10-01,-8515327
2018-11-01,5198837
2018-12-01,-20758467
2019-01-01,5910703
2019-02-01,-18675315
2019-03-01,-24573567
2019-04-01,-14309064
2019-05-01,-11869039
2019-06-01,-11454947
2019-07-01,10138765
2019-08-01,1189050
