"tarih","deger"
2010-01-01,-9.004e+09
2010-04-01,-9.866e+09
2010-07-01,-9.336e+09
2010-10-01,-1.6419e+10
2011-01-01,-2.1181e+10
2011-04-01,-2.2681e+10
2011-07-01,-1.4829e+10
2011-10-01,-1.5712e+10
2012-01-01,-1.6107e+10
2012-04-01,-1.3021e+10
2012-07-01,-3.341e+09
2012-10-01,-9.327e+09
2013-01-01,-1.4706e+10
2013-04-01,-1.5796e+10
2013-07-01,-5.355e+09
2013-10-01,-1.3472e+10
2014-01-01,-1.0262e+10
2014-04-01,-9.573e+09
2014-07-01,-4.82e+08
2014-10-01,-1.1793e+10
2015-01-01,-8.554e+09
2015-04-01,-8.791e+09
2015-07-01,2.36e+09
2015-10-01,-6.369e+09
2016-01-01,-6.613e+09
2016-04-01,-9.158e+09
2016-07-01,-7.75e+08
2016-10-01,-5.621e+09
2017-01-01,-6.992e+09
2017-04-01,-1.0478e+10
2017-07-01,-4.751e+09
2017-10-01,-1.2924e+10
2018-01-01,-1.5422e+10
2018-04-01,-1.2973e+10
2018-07-01,7.412e+09
2018-10-01,6.38e+09
2019-01-01,-3.05e+08
2019-04-01,1.434e+09
2019-07-01,1.2721e+10
2019-10-01,1.164e+09
2020-01-01,-6.69e+09
2020-04-01,-1.1104e+10
2020-07-01,-6.761e+09
2020-10-01,-6.421e+09
2021-01-01,-6.478e+09
2021-04-01,-4.998e+09
2021-07-01,6.758e+09
2021-10-01,-1.503e+09
2022-01-01,-1.7916e+10
2022-04-01,-1.1248e+10
2022-07-01,-6.422e+09
2022-10-01,-1.0697e+10
2023-01-01,-2.3248e+10
2023-04-01,-1.0825e+10
2023-07-01,-1.584e+09
2023-10-01,-4.22e+09
2024-01-01,-9.759e+09
2024-04-01,-4.6e+09
2024-07-01,9.395e+09
2024-10-01,-5.229e+09
2025-01-01,-1.241e+10
2025-04-01,-1.0682e+10
2025-07-01,6.886e+09
2025-10-01,-1.1226e+10
2026-01-01,-2.3633e+10
2026-04-01,-1.0915e+10
