"tarih","deger"
2000-01-01,-826
2000-02-01,-1354
2000-03-01,-1554
2000-04-01,-1597
2000-05-01,-1940
2000-06-01,-2269
2000-07-01,-2040
2000-08-01,-2462
2000-09-01,-1766
2000-10-01,-2271
2000-11-01,-2398
2000-12-01,-1482
2001-01-01,-1412
2001-02-01,-504
2001-03-01,-27
2001-04-01,147
2001-05-01,-100
2001-06-01,-195
2001-07-01,-431
2001-08-01,-327
2001-09-01,-208
2001-10-01,59
2001-11-01,-101
2001-12-01,-183
2002-01-01,-308
2002-02-01,-77
2002-03-01,-218
2002-04-01,-681
2002-05-01,-620
2002-06-01,-564
2002-07-01,-851
2002-08-01,-567
2002-09-01,-409
2002-10-01,-369
2002-11-01,-448
2002-12-01,-1292
2003-01-01,-400
2003-02-01,-733
2003-03-01,-1186
2003-04-01,-898
2003-05-01,-873
2003-06-01,-1256
2003-07-01,-1358
2003-08-01,-1309
2003-09-01,-1199
2003-10-01,-837
2003-11-01,-538
2003-12-01,-2824
2004-01-01,-914
2004-02-01,-1783
2004-03-01,-2198
2004-04-01,-1871
2004-05-01,-1712
2004-06-01,-2094
2004-07-01,-2028
2004-08-01,-2137
2004-09-01,-1765
2004-10-01,-1186
2004-11-01,-1934
2004-12-01,-2816
2005-01-01,-1570
2005-02-01,-1852
2005-03-01,-2562
2005-04-01,-2534
2005-05-01,-2945
2005-06-01,-2991
2005-07-01,-3137
2005-08-01,-3851
2005-09-01,-2570
2005-10-01,-2435
2005-11-01,-2919
2005-12-01,-3570
2006-01-01,-2504
2006-02-01,-2905
2006-03-01,-3190
2006-04-01,-4111
2006-05-01,-4690
2006-06-01,-3642
2006-07-01,-3651
2006-08-01,-4200
2006-09-01,-3272
2006-10-01,-3117
2006-11-01,-2750
2006-12-01,-2862
2007-01-01,-3174
2007-02-01,-2697
2007-03-01,-3084
2007-04-01,-3409
2007-05-01,-4158
2007-06-01,-3882
2007-07-01,-4902
2007-08-01,-4599
2007-09-01,-4022
2007-10-01,-4262
2007-11-01,-3795
2007-12-01,-4847
2008-01-01,-4589
2008-02-01,-3425
2008-03-01,-4099
2008-04-01,-5044
2008-05-01,-5381
2008-06-01,-6299
2008-07-01,-6368
2008-08-01,-6358
2008-09-01,-3432
2008-10-01,-4032
2008-11-01,-1263
2008-12-01,-2627
2009-01-01,-366
2009-02-01,352
2009-03-01,-1217
2009-04-01,-1462
2009-05-01,-2435
2009-06-01,-2897
2009-07-01,-2758
2009-08-01,-3861
2009-09-01,-2760
2009-10-01,-1300
2009-11-01,-2594
2009-12-01,-3464
2010-01-01,-2807
2010-02-01,-2361
2010-03-01,-3667
2010-04-01,-4089
2010-05-01,-3627
2010-06-01,-4389
2010-07-01,-5335
2010-08-01,-5652
2010-09-01,-5635
2010-10-01,-5012
2010-11-01,-6505
2010-12-01,-7246
2011-01-01,-6040
2011-02-01,-6195
2011-03-01,-8302
2011-04-01,-7852
2011-05-01,-8909
2011-06-01,-9187
2011-07-01,-7983
2011-08-01,-6911
2011-09-01,-8411
2011-10-01,-6399
2011-11-01,-6239
2011-12-01,-6732
2012-01-01,-5876
2012-02-01,-4750
2012-03-01,-6076
2012-04-01,-5234
2012-05-01,-6935
2012-06-01,-5731
2012-07-01,-6374
2012-08-01,-4471
2012-09-01,-5413
2012-10-01,-3851
2012-11-01,-5276
2012-12-01,-5380
2013-01-01,-5990
2013-02-01,-5832
2013-03-01,-5780
2013-04-01,-8555
2013-05-01,-7926
2013-06-01,-7222
2013-07-01,-8781
2013-08-01,-5994
2013-09-01,-6130
2013-10-01,-6185
2013-11-01,-5278
2013-12-01,-8211
2014-01-01,-5585
2014-02-01,-3728
2014-03-01,-4209
2014-04-01,-5817
2014-05-01,-5548
2014-06-01,-6589
2014-07-01,-5159
2014-08-01,-6447
