"tarih","deger"
2002-02-01,57
2002-03-01,54
2002-04-01,48
2002-05-01,48
2002-06-01,48
2002-07-01,48
2002-08-01,46
2002-09-01,46
2002-10-01,46
2002-11-01,44
2002-12-01,44
2003-01-01,44
2003-02-01,44
2003-03-01,44
2003-04-01,41
2003-05-01,41
2003-06-01,38
2003-07-01,35
2003-08-01,32
2003-09-01,29
2003-10-01,26
2003-11-01,26
2003-12-01,26
2004-01-01,26
2004-02-01,24
2004-03-01,22
2004-04-01,22
2004-05-01,22
2004-06-01,22
2004-07-01,22
2004-08-01,22
2004-09-01,20
2004-10-01,20
2004-11-01,20
2004-12-01,18
2005-01-01,17
2005-02-01,16.5
2005-03-01,15.5
2005-04-01,15
2005-05-01,14.5
2005-06-01,14.25
2005-07-01,14.25
2005-08-01,14.25
2005-09-01,14.25
2005-10-01,14
2005-11-01,13.75
2005-12-01,13.5
2006-01-01,13.5
2006-02-01,13.5
2006-03-01,13.5
2006-04-01,13.25
2006-05-01,13.25
2006-06-01,17.25
2006-07-01,17.5
2006-08-01,17.5
2006-09-01,17.5
2006-10-01,17.5
2006-11-01,17.5
2006-12-01,17.5
2007-01-01,17.5
2007-02-01,17.5
2007-03-01,17.5
2007-04-01,17.5
2007-05-01,17.5
2007-06-01,17.5
2007-07-01,17.5
2007-08-01,17.5
2007-09-01,17.25
2007-10-01,16.75
2007-11-01,16.25
2007-12-01,15.75
2008-01-01,15.5
2008-02-01,15.25
2008-03-01,15.25
2008-04-01,15.25
2008-05-01,15.75
2008-06-01,16.25
2008-07-01,16.75
2008-08-01,16.75
2008-09-01,16.75
2008-10-01,16.75
2008-11-01,16.25
2008-12-01,15
2009-01-01,13
2009-02-01,11.5
2009-03-01,10.5
2009-04-01,9.75
2009-05-01,9.25
2009-06-01,8.75
2009-07-01,8.25
2009-08-01,7.75
2009-09-01,7.25
2009-10-01,6.75
2009-11-01,6.5
2009-12-01,6.5
2010-01-01,6.5
2010-02-01,6.5
2010-03-01,6.5
2010-04-01,6.5
2010-05-01,7
2010-06-01,7
2010-07-01,7
2010-08-01,7
2010-09-01,7
2010-10-01,7
2010-11-01,7
2010-12-01,6.5
2011-01-01,6.25
2011-02-01,6.25
2011-03-01,6.25
2011-04-01,6.25
2011-05-01,6.25
2011-06-01,6.25
2011-07-01,6.25
2011-08-01,5.75
2011-09-01,5.75
2011-10-01,5.75
2011-11-01,5.75
2011-12-01,5.75
2012-01-01,5.75
2012-02-01,5.75
2012-03-01,5.75
2012-04-01,5.75
2012-05-01,5.75
2012-06-01,5.75
2012-07-01,5.75
2012-08-01,5.75
2012-09-01,5.75
2012-10-01,5.75
2012-11-01,5.75
2012-12-01,5.5
2013-01-01,5.5
2013-02-01,5.5
2013-03-01,5.5
2013-04-01,5
2013-05-01,4.5
2013-06-01,4.5
2013-07-01,4.5
2013-08-01,4.5
2013-09-01,4.5
2013-10-01,4.5
2013-11-01,4.5
2013-12-01,4.5
2014-01-01,10
2014-02-01,10
2014-03-01,10
2014-04-01,10
2014-05-01,9.5
2014-06-01,8.75
2014-07-01,8.25
2014-08-01,8.25
2014-09-01,8.25
2014-10-01,8.25
2014-11-01,8.25
2014-12-01,8.25
2015-01-01,7.75
2015-02-01,7.5
2015-03-01,7.5
2015-04-01,7.5
2015-05-01,7.5
2015-06-01,7.5
2015-07-01,7.5
2015-08-01,7.5
2015-09-01,7.5
2015-10-01,7.5
2015-11-01,7.5
2015-12-01,7.5
2016-01-01,7.5
2016-02-01,7.5
2016-03-01,7.5
2016-04-01,7.5
2016-05-01,7.5
2016-06-01,7.5
2016-07-01,7.5
2016-08-01,7.5
2016-09-01,7.5
2016-10-01,7.5
2016-11-01,8
2016-12-01,8
2017-01-01,8
2017-02-01,8
2017-03-01,8
2017-04-01,8
2017-05-01,8
2017-06-01,8
2017-07-01,8
2017-08-01,8
2017-09-01,8
2017-10-01,8
2017-11-01,8
2017-12-01,8
2018-01-01,8
2018-02-01,8
2018-03-01,8
2018-04-01,8
2018-05-01,8
2018-06-01,17.75
2018-07-01,17.75
2018-08-01,17.75
2018-09-01,24
2018-10-01,24
2018-11-01,24
2018-12-01,24
2019-01-01,24
2019-02-01,24
2019-03-01,24
2019-04-01,24
2019-05-01,24
2019-06-01,24
2019-07-01,19.75
2019-08-01,19.75
2019-09-01,16.5
2019-10-01,14
2019-11-01,14
2019-12-01,12
2020-01-01,11.25
2020-02-01,10.75
2020-03-01,9.75
2020-04-01,8.75
2020-05-01,8.25
2020-06-01,8.25
2020-07-01,8.25
2020-08-01,8.25
2020-09-01,10.25
2020-10-01,10.25
2020-11-01,15
2020-12-01,17
2021-01-01,17
2021-02-01,17
2021-03-01,19
2021-04-01,19
2021-05-01,19
2021-06-01,19
2021-07-01,19
2021-08-01,19
2021-09-01,18
2021-10-01,16
2021-11-01,15
2021-12-01,14
2022-01-01,14
2022-02-01,14
2022-03-01,14
2022-04-01,14
2022-05-01,14
2022-06-01,14
2022-07-01,14
2022-08-01,13
2022-09-01,12
2022-10-01,10.5
2022-11-01,9
2022-12-01,9
2023-01-01,9
2023-02-01,8.5
2023-03-01,8.5
2023-04-01,8.5
2023-05-01,8.5
2023-06-01,15
2023-07-01,17.5
2023-08-01,25
2023-09-01,30
2023-10-01,35
2023-11-01,40
2023-12-01,42.5
2024-01-01,45
2024-02-01,45
2024-03-01,50
2024-04-01,50
2024-05-01,50
2024-06-01,50
2024-07-01,50
2024-08-01,50
2024-09-01,50
2024-10-01,50
2024-11-01,50
2024-12-01,47.5
2025-01-01,45
2025-02-01,45
2025-03-01,42.5
2025-04-01,46
2025-05-01,46
2025-06-01,46
2025-07-01,43
2025-08-01,43
2025-09-01,40.5
2025-10-01,39.5
2025-11-01,39.5
2025-12-01,38
2026-01-01,37
2026-02-01,37
2026-03-01,37
2026-04-01,37
2026-05-01,37
2026-06-01,37
2026-07-01,37
