"tarih","deger"
2010-01-01,4.57
2010-02-01,4.57
2010-03-01,4.58
2010-04-01,4.63
2010-05-01,4.68
2010-06-01,4.68
2010-07-01,4.68
2010-08-01,4.74
2010-09-01,4.77
2010-10-01,4.75
2010-11-01,4.84
2010-12-01,4.86
2011-01-01,4.9
2011-02-01,4.95
2011-03-01,5
2011-04-01,5.04
2011-05-01,5.09
2011-06-01,5.14
2011-07-01,5.1
2011-08-01,5.15
2011-09-01,5.17
2011-10-01,5.26
2011-11-01,5.27
2011-12-01,5.24
2012-01-01,5.4
2012-02-01,5.45
2012-03-01,5.48
2012-04-01,5.55
2012-05-01,5.63
2012-06-01,5.67
2012-07-01,5.73
2012-08-01,5.77
2012-09-01,5.8
2012-10-01,5.8
2012-11-01,5.83
2012-12-01,5.89
2013-01-01,5.96
2013-02-01,6.02
2013-03-01,6.12
2013-04-01,6.15
2013-05-01,6.25
2013-06-01,6.32
2013-07-01,6.39
2013-08-01,6.43
2013-09-01,6.44
2013-10-01,6.52
2013-11-01,6.53
2013-12-01,6.64
2014-01-01,6.67
2014-02-01,6.73
2014-03-01,6.84
2014-04-01,6.88
2014-05-01,6.99
2014-06-01,7.06
2014-07-01,7.16
2014-08-01,7.23
2014-09-01,7.33
2014-10-01,7.37
2014-11-01,7.44
2014-12-01,7.53
2015-01-01,7.65
2015-02-01,7.78
2015-03-01,7.91
2015-04-01,8.02
2015-05-01,8.12
2015-06-01,8.26
2015-07-01,8.31
2015-08-01,8.32
2015-09-01,8.45
2015-10-01,8.5
2015-11-01,8.67
2015-12-01,8.67
2016-01-01,8.82
2016-02-01,8.89
2016-03-01,8.97
2016-04-01,9.06
2016-05-01,9.19
2016-06-01,9.27
2016-07-01,9.3
2016-08-01,9.42
2016-09-01,9.5
2016-10-01,9.53
2016-11-01,9.62
2016-12-01,9.7
2017-01-01,9.83
2017-02-01,9.96
2017-03-01,10.07
2017-04-01,10.18
2017-05-01,10.24
2017-06-01,10.33
2017-07-01,10.34
2017-08-01,10.24
2017-09-01,10.47
2017-10-01,10.5
2017-11-01,10.53
2017-12-01,10.61
2018-01-01,10.68
2018-02-01,10.75
2018-03-01,10.86
2018-04-01,10.93
2018-05-01,11.13
2018-06-01,11.27
2018-07-01,11.19
2018-08-01,11.14
2018-09-01,11.2
2018-10-01,11.3
2018-11-01,11.32
2018-12-01,11.19
2019-01-01,11.18
2019-02-01,11.19
2019-03-01,11.24
2019-04-01,11.31
2019-05-01,11.46
2019-06-01,11.4
2019-07-01,11.47
2019-08-01,11.78
2019-09-01,11.88
2019-10-01,12.01
2019-11-01,12.14
2019-12-01,12.29
2020-01-01,12.61
2020-02-01,12.89
2020-03-01,13.13
2020-04-01,13.15
2020-05-01,13.4
2020-06-01,14.32
2020-07-01,14.85
2020-08-01,15.06
2020-09-01,15.23
2020-10-01,15.57
2020-11-01,16.06
2020-12-01,16.23
2021-01-01,16.49
2021-02-01,16.98
2021-03-01,17.32
2021-04-01,17.86
2021-05-01,18.27
2021-06-01,18.76
2021-07-01,19.41
2021-08-01,19.99
2021-09-01,20.77
2021-10-01,21.65
2021-11-01,23.22
2021-12-01,26.54
2022-01-01,29.95
2022-02-01,32.3
2022-03-01,35.39
2022-04-01,39.44
2022-05-01,44.56
2022-06-01,49.53
2022-07-01,53.04
2022-08-01,56.26
2022-09-01,59.48
2022-10-01,62.09
2022-11-01,64.2
2022-12-01,66.85
2023-01-01,73.88
2023-02-01,78.4
2023-03-01,84.68
2023-04-01,87.55
2023-05-01,91.12
2023-06-01,95.66
2023-07-01,101.87
2023-08-01,108.97
2023-09-01,116.18
2023-10-01,119.18
2023-11-01,120.07
2023-12-01,122.43
2024-01-01,125.71
2024-02-01,129.87
2024-03-01,131.49
2024-04-01,132.7
2024-05-01,137.9
2024-06-01,140.03
2024-07-01,141.33
2024-08-01,146.5
2024-09-01,148.01
2024-10-01,151.08
2024-11-01,155.38
2024-12-01,158.46
2025-01-01,165.88
2025-02-01,170.55
2025-03-01,173.88
2025-04-01,176.41
2025-05-01,182.33
2025-06-01,185.96
2025-07-01,187.78
2025-08-01,192.44
2025-09-01,195.66
2025-10-01,198.87
2025-11-01,204.04
2025-12-01,204.36
2026-01-01,211.73
2026-02-01,215.4
2026-03-01,219.52
2026-04-01,223.32
2026-05-01,226.99
2026-06-01,231.34
2026-07-01,234.55
2026-08-01,236.76
