"tarih","deger"
2000-01-01,22870329
2000-02-01,22159198
2000-03-01,22440989
2000-04-01,23188237
2000-05-01,23096794
2000-06-01,24508902
2000-07-01,26642948
2000-08-01,26014559
2000-09-01,26490251
2000-10-01,27287078
2000-11-01,28503813
2000-12-01,31912095
2001-01-01,32202029
2001-02-01,35311355
2001-03-01,38487237
2001-04-01,38941957
2001-05-01,39096847
2001-06-01,40377691
2001-07-01,38282033
2001-08-01,40805064
2001-09-01,42112694
2001-10-01,42857471
2001-11-01,43879923
2001-12-01,47241075
2002-01-01,45756181
2002-02-01,48485606
2002-03-01,49514926
2002-04-01,50777834
2002-05-01,51794752
2002-06-01,53112804
2002-07-01,53982055
2002-08-01,53777195
2002-09-01,56180930
2002-10-01,57924441
2002-11-01,58874391
2002-12-01,61879759
2003-01-01,61000599
2003-02-01,61670537
2003-03-01,63775968
2003-04-01,62804208
2003-05-01,64664714
2003-06-01,67813827
2003-07-01,69912019
2003-08-01,71376431
2003-09-01,74970925
2003-10-01,77111813
2003-11-01,78796201
2003-12-01,82712966
2004-01-01,90436316
2004-02-01,89510444
2004-03-01,92551907
2004-04-01,95203537
2004-05-01,95633521
2004-06-01,97409577
2004-07-01,98373716
2004-08-01,100808321
2004-09-01,102914186
2004-10-01,104511632
2004-11-01,105450430
2004-12-01,108539246
2005-01-01,106096434
2005-02-01,108470081
2005-03-01,113719133
2005-04-01,117735754
2005-05-01,120541574
2005-06-01,126567918
2005-07-01,130646026
2005-08-01,134089319
2005-09-01,138520405
2005-10-01,144406974
2005-11-01,146553461
2005-12-01,238801377.5
2006-01-01,234781577.5
2006-02-01,239340348.1
2006-03-01,247906895.6
2006-04-01,252556462.6
2006-05-01,274641762.3
2006-06-01,278518255.4
2006-07-01,271258116.3
2006-08-01,275056947.3
2006-09-01,281859755.1
2006-10-01,283901921.6
2006-11-01,289899747.4
2006-12-01,297734742.6
2007-01-01,299256415.4
2007-02-01,301320358.4
2007-03-01,305514500.6
2007-04-01,310154079.1
2007-05-01,314302110.4
2007-06-01,320006674.7
2007-07-01,324278665.2
2007-08-01,329380436
2007-09-01,327465954.2
2007-10-01,328448264
2007-11-01,332502206
2007-12-01,344376752
2008-01-01,345039820
2008-02-01,351541277
2008-03-01,372435011
2008-04-01,374709014
2008-05-01,370137438
2008-06-01,379097979
2008-07-01,380641620
2008-08-01,381053390
2008-09-01,399314554
2008-10-01,414116682
2008-11-01,422482232
2008-12-01,436380325
2009-01-01,435510154
2009-02-01,444276689
2009-03-01,447061458
2009-04-01,439284789
2009-05-01,443839022
2009-06-01,450220461
2009-07-01,452153251
2009-08-01,457238234
2009-09-01,468103547
2009-10-01,471896475
2009-11-01,484503316
2009-12-01,493060975
2010-01-01,491925514
2010-02-01,500267353
2010-03-01,508028109
2010-04-01,506739804
2010-05-01,515038013
2010-06-01,532117277
2010-07-01,533291863
2010-08-01,537446147
2010-09-01,546109351
2010-10-01,551318229
2010-11-01,560599376
2010-12-01,587261177
2011-01-01,585506045
2011-02-01,600590517
2011-03-01,612916566
2011-04-01,615968600
2011-05-01,630708198
2011-06-01,640200133
2011-07-01,649010941
2011-08-01,661883190
2011-09-01,663929435
2011-10-01,657814714
2011-11-01,661091530
2011-12-01,674409579
2012-01-01,659931261
2012-02-01,663809764
2012-03-01,672025170
2012-04-01,674704190
2012-05-01,683957100
2012-06-01,694307425
2012-07-01,697424791
2012-08-01,705819744
2012-09-01,717634909
2012-10-01,726248626
2012-11-01,725095646
2012-12-01,743043389
2013-01-01,745255840
2013-02-01,752627312
2013-03-01,763321233
2013-04-01,772431756
2013-05-01,792034212
2013-06-01,807047573
2013-07-01,829743521
2013-08-01,848273726
2013-09-01,863518843
2013-10-01,868843841
2013-11-01,879344465
2013-12-01,908059333
2014-01-01,921325263
2014-02-01,922154061
2014-03-01,923380639
2014-04-01,926654456
2014-05-01,924114963
2014-06-01,942496619
2014-07-01,967001541
2014-08-01,967173176
2014-09-01,994182489
2014-10-01,984013436
2014-11-01,987533316
2014-12-01,1015920601
2015-01-01,1022057292
2015-02-01,1046179728
2015-03-01,1070387826
2015-04-01,1098268735
2015-05-01,1108585679
2015-06-01,1119496059
2015-07-01,1148945028
2015-08-01,1172420463
2015-09-01,1204692707
2015-10-01,1188074099
2015-11-01,1179305100
2015-12-01,1189495148
2016-01-01,1197885983
2016-02-01,1206624205
2016-03-01,1220421457
2016-04-01,1223924736
2016-05-01,1249963165
2016-06-01,1261520416
2016-07-01,1282795654
2016-08-01,1283703073
2016-09-01,1301518102
2016-10-01,1321651942
2016-11-01,1367445757
2016-12-01,1406872842
2017-01-01,1426505883
2017-02-01,1407933124
2017-03-01,1448942430
2017-04-01,1476089913
2017-05-01,1491806735
2017-06-01,1516294070
2017-07-01,1522315696
2017-08-01,1544897146
2017-09-01,1563134203
2017-10-01,1610022776
2017-11-01,1627300950
2017-12-01,1628023132
2018-01-01,1617630665
2018-02-01,1633682306
2018-03-01,1678040812
2018-04-01,1712468513
2018-05-01,1787144026
2018-06-01,1807860689
2018-07-01,1870996641
2018-08-01,2099272197
2018-09-01,2020764883
2018-10-01,1956073358
2018-11-01,1899242192
2018-12-01,1938998976
2019-01-01,1950687708
2019-02-01,1984646947
2019-03-01,2090276096
2019-04-01,2151020045
2019-05-01,2165907128
2019-06-01,2159862130
2019-07-01,2152836961
2019-08-01,2254518412
2019-09-01,2259287516
2019-10-01,2313425349
2019-11-01,2343648606
2019-12-01,2445447858
2020-01-01,2469235642
2020-02-01,2556911596
2020-03-01,2681493623
2020-04-01,2910666523
2020-05-01,2918865211
2020-06-01,3001226936
2020-07-01,3141593256
2020-08-01,3196795800
2020-09-01,3273110992
2020-10-01,3414449433
2020-11-01,3314555345
2020-12-01,3326512024
2021-01-01,3306057972
2021-02-01,3326645026
2021-03-01,3519147499
2021-04-01,3574864016
2021-05-01,3676730667
2021-06-01,3763771681
2021-07-01,3804781569
2021-08-01,3815142498
2021-09-01,3993750060
2021-10-01,4239266828
2021-11-01,5021717951
2021-12-01,5108132702
2022-01-01,5140228239
2022-02-01,5308036475
2022-03-01,5699858632
2022-04-01,5895872508
2022-05-01,6277459612
2022-06-01,6428508832
2022-07-01,6958505889
2022-08-01,7231185430
2022-09-01,7475494815
2022-10-01,7735052757
2022-11-01,7871318084
2022-12-01,8209273693
2023-01-01,8427505053
2023-02-01,8650527989
2023-03-01,9073195173
2023-04-01,9537845081
2023-05-01,9508104415
2023-06-01,10874575044
2023-07-01,11510220409
2023-08-01,11947306760
2023-09-01,12374659285
2023-10-01,12789135293
2023-11-01,13049971609
2023-12-01,13665141252
2024-01-01,13697119812
2024-02-01,14020214021
2024-03-01,14348468781
2024-04-01,14523330249
2024-05-01,14837921368
