"tarih","deger"
2007-01-01,115.5
2007-02-01,113.9
2007-03-01,115.5
2007-04-01,121
2007-05-01,111.8
2007-06-01,112.9
2007-07-01,113.9
2007-08-01,114.2
2007-09-01,109.5
2007-10-01,103.9
2007-11-01,103.7
2007-12-01,103.4
2008-01-01,106.7
2008-02-01,106.3
2008-03-01,106.1
2008-04-01,105.1
2008-05-01,104.4
2008-06-01,101.4
2008-07-01,97.9
2008-08-01,97.3
2008-09-01,88.4
2008-10-01,69.6
2008-11-01,54
2008-12-01,52.6
2009-01-01,60.1
2009-02-01,65.2
2009-03-01,69.9
2009-04-01,86.7
2009-05-01,99
2009-06-01,100
2009-07-01,100.4
2009-08-01,98.4
2009-09-01,96
2009-10-01,91.1
2009-11-01,90.7
2009-12-01,90.1
2010-01-01,102.3
2010-02-01,103.5
2010-03-01,110.4
2010-04-01,119.2
2010-05-01,114
2010-06-01,111.1
2010-07-01,109.9
2010-08-01,109.1
2010-09-01,109.4
2010-10-01,105.4
2010-11-01,106.8
2010-12-01,106.5
2011-01-01,113
2011-02-01,111.2
2011-03-01,114.5
2011-04-01,117
2011-05-01,117.9
2011-06-01,115.3
2011-07-01,112.6
2011-08-01,109.3
2011-09-01,111.6
2011-10-01,101.6
2011-11-01,102.4
2011-12-01,99.3
2012-01-01,102
2012-02-01,108.7
2012-03-01,112.6
2012-04-01,115.4
2012-05-01,114.3
2012-06-01,108.1
2012-07-01,109.1
2012-08-01,105.7
2012-09-01,103
2012-10-01,100.8
2012-11-01,101.9
2012-12-01,97.6
2013-01-01,101.9
2013-02-01,105.9
2013-03-01,111.9
2013-04-01,111.5
2013-05-01,114.3
2013-06-01,114.2
2013-07-01,109
2013-08-01,106.8
2013-09-01,104.7
2013-10-01,103.9
2013-11-01,98.7
2013-12-01,96.7
2014-01-01,95.8
2014-02-01,99.2
2014-03-01,106.4
2014-04-01,110.6
2014-05-01,113.5
2014-06-01,110.4
2014-07-01,107.3
2014-08-01,103.9
2014-09-01,104.5
2014-10-01,105.3
2014-11-01,99.2
2014-12-01,98.5
2015-01-01,101.7
2015-02-01,103.7
2015-03-01,103
2015-04-01,109.7
2015-05-01,111.3
2015-06-01,105.6
2015-07-01,104.8
2015-08-01,102.9
2015-09-01,98.2
2015-10-01,97.7
2015-11-01,102.6
2015-12-01,100.4
2016-01-01,103.2
2016-02-01,104.6
2016-03-01,107.2
2016-04-01,110.5
2016-05-01,110.2
2016-06-01,107.7
2016-07-01,108
2016-08-01,102.2
2016-09-01,106.1
2016-10-01,101
2016-11-01,103.5
2016-12-01,97.6
2017-01-01,97.1
2017-02-01,105.9
2017-03-01,108.9
2017-04-01,111.2
2017-05-01,109.2
2017-06-01,112.4
2017-07-01,109.5
2017-08-01,110.7
2017-09-01,111.6
2017-10-01,109.5
2017-11-01,106.3
2017-12-01,103.3
2018-01-01,108.3
2018-02-01,110.8
2018-03-01,111.9
2018-04-01,111.2
2018-05-01,109.9
2018-06-01,104.6
2018-07-01,102.7
2018-08-01,96.4
2018-09-01,89.6
2018-10-01,87.6
2018-11-01,92.8
2018-12-01,91.5
2019-01-01,93
2019-02-01,97.2
2019-03-01,102.1
2019-04-01,105.5
2019-05-01,98.9
2019-06-01,102.5
2019-07-01,98.3
2019-08-01,102.5
2019-09-01,98.8
2019-10-01,100.9
2019-11-01,102
2019-12-01,103.6
2020-01-01,104.1
2020-02-01,106.9
2020-03-01,99.7
2020-04-01,66.8
2020-05-01,76.9
2020-06-01,92.6
2020-07-01,100.7
2020-08-01,106.2
2020-09-01,105.3
2020-10-01,108.1
2020-11-01,103.9
2020-12-01,106.8
2021-01-01,107
2021-02-01,109.3
2021-03-01,110.8
2021-04-01,111
2021-05-01,110.3
2021-06-01,113
2021-07-01,114.8
2021-08-01,113.9
2021-09-01,113.4
2021-10-01,109.6
2021-11-01,108.4
2021-12-01,106.1
2022-01-01,109.5
2022-02-01,109.8
2022-03-01,108.5
2022-04-01,109.7
2022-05-01,109.4
2022-06-01,106.4
2022-07-01,103.7
2022-08-01,102.1
2022-09-01,99.9
2022-10-01,100.3
2022-11-01,97.9
2022-12-01,97.8
2023-01-01,101.7
2023-02-01,102.4
2023-03-01,105.2
2023-04-01,108
2023-05-01,108.3
2023-06-01,108.2
2023-07-01,106.8
2023-08-01,105
2023-09-01,104.4
2023-10-01,103.3
2023-11-01,100.2
2023-12-01,99.1
2024-01-01,100.9
2024-02-01,101.5
2024-03-01,104.4
2024-04-01,106.1
2024-05-01,105.4
2024-06-01,102.8
2024-07-01,100.3
2024-08-01,98.5
2024-09-01,98.8
2024-10-01,100.9
2024-11-01,100.4
2024-12-01,99.1
2025-01-01,100.9
2025-02-01,102.4
2025-03-01,104.1
2025-04-01,103.2
2025-05-01,101.4
2025-06-01,100.3
2025-07-01,100.2
2025-08-01,100.6
2025-09-01,100.2
2025-10-01,100.8
2025-11-01,100.8
2025-12-01,100.8
2026-01-01,101.6
2026-02-01,104.1
2026-03-01,101
2026-04-01,100.6
2026-05-01,103.3
2026-06-01,103.5
2026-07-01,102.2
2026-08-01,102.8
2026-09-01,102
