"tarih","deger"
2000-01-01,27.12
2000-02-01,29.69
2000-03-01,29.66
2000-04-01,31.58
2000-05-01,33.78
2000-06-01,34.09
2000-07-01,33.53
2000-08-01,34.28
2000-09-01,34.75
2000-10-01,35.44
2000-11-01,35.57
2000-12-01,30.45
2001-01-01,29.47
2001-02-01,28.53
2001-03-01,27.68
2001-04-01,28.09
2001-05-01,30.17
2001-06-01,30.2
2001-07-01,30.04
2001-08-01,30.79
2001-09-01,31.74
2001-10-01,30.7
2001-11-01,30.54
2001-12-01,28.09
2002-01-01,28.66
2002-02-01,26.96
2002-03-01,32.81
2002-04-01,32.52
2002-05-01,33.81
2002-06-01,32.65
2002-07-01,33.65
2002-08-01,32.87
2002-09-01,35.1
2002-10-01,34.82
2002-11-01,33.5
2002-12-01,32.33
2003-01-01,33.5
2003-02-01,28.06
2003-03-01,35.1
2003-04-01,33.15
2003-05-01,34.82
2003-06-01,35.54
2003-07-01,37.08
2003-08-01,36.04
2003-09-01,39.03
2003-10-01,38.49
2003-11-01,34.13
2003-12-01,38.81
2004-01-01,35.26
2004-02-01,32.18
2004-03-01,39.47
2004-04-01,38.4
2004-05-01,40.72
2004-06-01,41.16
2004-07-01,41.6
2004-08-01,38.96
2004-09-01,41.1
2004-10-01,38.81
2004-11-01,37.11
2004-12-01,40.41
2005-01-01,37.02
2005-02-01,38.01
2005-03-01,43.55
2005-04-01,42
2005-05-01,43.81
2005-06-01,45.24
2005-07-01,44.19
2005-08-01,44.15
2005-09-01,48.19
2005-10-01,49.27
2005-11-01,45.12
2005-12-01,49.97
2006-01-01,37.44
2006-02-01,41.39
2006-03-01,48.89
2006-04-01,46.35
2006-05-01,49.31
2006-06-01,50.07
2006-07-01,48.33
2006-08-01,47.03
2006-09-01,50.39
2006-10-01,47.35
2006-11-01,51.58
2006-12-01,51.22
2007-01-01,44.63
2007-02-01,45.09
2007-03-01,51.9
2007-04-01,49.12
2007-05-01,52.97
2007-06-01,52.45
2007-07-01,51.28
2007-08-01,50.77
2007-09-01,52.55
2007-10-01,52.17
2007-11-01,55.85
2007-12-01,50.42
2008-01-01,49.65
2008-02-01,49.21
2008-03-01,53.73
2008-04-01,52.81
2008-05-01,54.56
2008-06-01,53.67
2008-07-01,53.53
2008-08-01,49.04
2008-09-01,50.46
2008-10-01,48.86
2008-11-01,48.65
2008-12-01,41.64
2009-01-01,38.95
2009-02-01,37.41
2009-03-01,42.19
2009-04-01,42.86
2009-05-01,45.23
2009-06-01,48.35
2009-07-01,48.79
2009-08-01,45.86
2009-09-01,45.6
2009-10-01,51.89
2009-11-01,47.2
2009-12-01,51.6
2010-01-01,42.15
2010-02-01,42.65
2010-03-01,50.49
2010-04-01,49.03
2010-05-01,51.21
2010-06-01,53.52
2010-07-01,53.91
2010-08-01,51.94
2010-09-01,50.21
2010-10-01,57.33
2010-11-01,51.93
2010-12-01,63.12
2011-01-01,52.45
2011-02-01,50.83
2011-03-01,58.61
2011-04-01,56.38
2011-05-01,58.99
2011-06-01,61.53
2011-07-01,60.72
2011-08-01,58.5
2011-09-01,60
2011-10-01,66.64
2011-11-01,59.43
2011-12-01,68.29
2012-01-01,55.6
2012-02-01,54.43
2012-03-01,62.12
2012-04-01,59.55
2012-05-01,64.38
2012-06-01,63.88
2012-07-01,63.35
2012-08-01,56.69
2012-09-01,64.59
2012-10-01,62.92
2012-11-01,67.76
2012-12-01,67.98
2013-01-01,57.97
2013-02-01,57.13
2013-03-01,63.73
2013-04-01,64.57
2013-05-01,68.13
2013-06-01,67.64
2013-07-01,69.48
2013-08-01,57.54
2013-09-01,71.42
2013-10-01,65.06
2013-11-01,74.44
2013-12-01,74.84
2014-01-01,64.92
2014-02-01,61.82
2014-03-01,69.63
2014-04-01,68.88
2014-05-01,69.9
2014-06-01,70.98
2014-07-01,67.22
2014-08-01,66.25
2014-09-01,75.86
2014-10-01,68.51
2014-11-01,74.23
2014-12-01,80.46
2015-01-01,64.32
2015-02-01,62.43
2015-03-01,73.91
2015-04-01,73.61
2015-05-01,73.29
2015-06-01,77.5
2015-07-01,70.51
2015-08-01,75.32
2015-09-01,71.98
2015-10-01,80.6
2015-11-01,79.71
2015-12-01,86.71
2016-01-01,67.73
2016-02-01,71.05
2016-03-01,78.91
2016-04-01,76.15
2016-05-01,79.43
2016-06-01,79.62
2016-07-01,64.44
2016-08-01,78.23
2016-09-01,69.31
2016-10-01,83.81
2016-11-01,84.33
2016-12-01,87.19
2017-01-01,71.98
2017-02-01,71.37
2017-03-01,83.96
2017-04-01,81.69
2017-05-01,84.32
2017-06-01,77.94
2017-07-01,83.41
2017-08-01,84.31
2017-09-01,81.99
2017-10-01,93.34
2017-11-01,92.66
2017-12-01,96.53
2018-01-01,80.95
2018-02-01,78.11
2018-03-01,89.47
2018-04-01,85.21
2018-05-01,89.79
2018-06-01,79.47
2018-07-01,89.63
2018-08-01,74.78
2018-09-01,85.13
2018-10-01,88.85
2018-11-01,86.17
2018-12-01,86.92
2019-01-01,74.88
2019-02-01,74.23
2019-03-01,85.37
2019-04-01,84.22
2019-05-01,89.7
2019-06-01,71.91
2019-07-01,89.28
2019-08-01,73.5
2019-09-01,88.65
2019-10-01,91.32
2019-11-01,89.74
2019-12-01,95.57
2020-01-01,80.6
2020-02-01,82.58
2020-03-01,84.58
2020-04-01,58
2020-05-01,62.36
2020-06-01,84.61
2020-07-01,88.7
2020-08-01,85.39
2020-09-01,98.68
2020-10-01,100.08
2020-11-01,97.5
2020-12-01,107.3
2021-01-01,87.34
2021-02-01,87.51
2021-03-01,101.86
2021-04-01,96.19
2021-05-01,88.15
2021-06-01,104.68
2021-07-01,87.34
2021-08-01,101.7
2021-09-01,107.18
2021-10-01,105.51
2021-11-01,111.36
2021-12-01,121.18
2022-01-01,93.04
2022-02-01,98.22
2022-03-01,110.03
2022-04-01,105.06
2022-05-01,98.03
2022-06-01,113.06
2022-07-01,89.46
2022-08-01,105.67
2022-09-01,107.3
2022-10-01,108.46
2022-11-01,109.54
2022-12-01,122.21
2023-01-01,99.32
2023-02-01,89.63
2023-03-01,110.36
2023-04-01,94.66
2023-05-01,109.31
2023-06-01,101.41
2023-07-01,106.97
2023-08-01,109.3
2023-09-01,111.8
2023-10-01,114.58
2023-11-01,111.49
2023-12-01,121.51
2024-01-01,100.98
2024-02-01,103.08
2024-03-01,110.99
2024-04-01,91.06
2024-05-01,112.16
2024-06-01,92.7
2024-07-01,108.79
2024-08-01,103.09
2024-09-01,107.09
2024-10-01,111.43
2024-11-01,112.57
2024-12-01,131.23
2025-01-01,102.18
2025-02-01,97.65
2025-03-01,107.89
2025-04-01,102.12
2025-05-01,113.84
2025-06-01,101.06
2025-07-01,114.14
2025-08-01,107.88
2025-09-01,113.68
2025-10-01,113.85
2025-11-01,111.81
2025-12-01,132.24
2026-01-01,99.46
2026-02-01,99.81
2026-03-01,104.22
2026-04-01,112.12
2026-05-01,95.15
2026-06-01,115.72
2026-07-01,113.81
