"tarih","deger"
2012-01-01,92.49930501
2012-02-01,93.80051724
2012-03-01,93.18602026
2012-04-01,88.70760776
2012-05-01,91.93473688
2012-06-01,91.41701782
2012-07-01,92.49644026
2012-08-01,90.28247728
2012-09-01,89.01882956
2012-10-01,84.86560036
2012-11-01,89.88361965
2012-12-01,89.06822063
2013-01-01,91.51709657
2013-02-01,91.75975
2013-03-01,92.0565
2013-04-01,92.70698787
2013-05-01,95.526
2013-06-01,94.69725
2013-07-01,96.538
2013-08-01,95.28775
2013-09-01,91.4275
2013-10-01,93.339
2013-11-01,96.7755
2013-12-01,94.15975
2014-01-01,91.53852611
2014-02-01,89.21453175
2014-03-01,92.42525093
2014-04-01,97.36987315
2014-05-01,95.11074805
2014-06-01,93.49903306
2014-07-01,93.72541877
2014-08-01,93.6484471
2014-09-01,94.01860978
2014-10-01,91.42706088
2014-11-01,90.87378969
2014-12-01,90.15420247
2015-01-01,89.34781946
2015-02-01,88.79512567
2015-03-01,86.48973828
2015-04-01,87.4218562
2015-05-01,86.79943005
2015-06-01,89.62664021
2015-07-01,88.23777123
2015-08-01,85.19583541
2015-09-01,82.15391598
2015-10-01,86.03619339
2015-11-01,95.15385967
2015-12-01,93.34194317
2016-01-01,91.94618912
2016-02-01,89.68277974
2016-03-01,89.86856283
2016-04-01,91.24925912
2016-05-01,91.69577383
2016-06-01,92.00708656
2016-07-01,89.65780433
2016-08-01,95.16622045
2016-09-01,94.77673501
2016-10-01,95.02017291
2016-11-01,91.40910273
2016-12-01,87.00704722
2017-01-01,88.38577383
2017-02-01,87.63446247
2017-03-01,89.89268569
2017-04-01,91.95329234
2017-05-01,94.22008486
2017-06-01,92.67384966
2017-07-01,93.21031619
2017-08-01,93.49159227
2017-09-01,92.00099804
2017-10-01,89.59682333
2017-11-01,87.35353412
2017-12-01,87.80834831
2018-01-01,92.38315817
2018-02-01,92.97420649
2018-03-01,92.27549812
2018-04-01,91.65107817
2018-05-01,90.94874696
2018-06-01,91.05238239
2018-07-01,92.92046998
2018-08-01,88.70138173
2018-09-01,81.14839561
2018-10-01,78.41815398
2018-11-01,80.94738021
2018-12-01,79.66066557
2019-01-01,80.11330377
2019-02-01,78.79038966
2019-03-01,81.10049382
2019-04-01,83.61170614
2019-05-01,77.04567514
2019-06-01,80.09404011
2019-07-01,78.93809794
2019-08-01,79.60414532
2019-09-01,77.63885503
2019-10-01,78.17048933
2019-11-01,81.24018395
2019-12-01,80.48867194
2020-01-01,81.11781199
2020-02-01,79.29114811
2020-03-01,80.9837989
2020-04-01,78.17727508
2020-05-01,82.85047469
2020-06-01,82.97922262
2020-07-01,82.82247177
2020-08-01,79.77182328
2020-09-01,81.90815673
2020-10-01,81.54335148
2020-11-01,79.9841112
2020-12-01,79.79660143
2021-01-01,82.86952357
2021-02-01,84.10742231
2021-03-01,86.62952308
2021-04-01,80.25356807
2021-05-01,77.52774271
2021-06-01,81.9708423
2021-07-01,80.09376671
2021-08-01,78.49322864
2021-09-01,79.60433638
2021-10-01,76.46037543
2021-11-01,70.84798367
2021-12-01,68.51105049
2022-01-01,72.74467146
2022-02-01,70.76649429
2022-03-01,72.56592991
2022-04-01,67.28
2022-05-01,67.76
2022-06-01,63.41
2022-07-01,68.51
2022-08-01,72.73
2022-09-01,72.87
2022-10-01,76.25
2022-11-01,76.58
2022-12-01,75.38
2023-01-01,79.1
2023-02-01,82.5
2023-03-01,80.13
2023-04-01,87.52
2023-05-01,91.06
2023-06-01,85.13
2023-07-01,80.07
2023-08-01,68.01
2023-09-01,71.47
2023-10-01,74.62
2023-11-01,75.47
2023-12-01,77.42
2024-01-01,80.42310949
2024-02-01,79.34287272
2024-03-01,79.35478993
2024-04-01,80.46085072
2024-05-01,80.50803678
2024-06-01,78.30087847
2024-07-01,75.87954525
2024-08-01,76.36547339
2024-09-01,78.22093197
2024-10-01,80.55364561
2024-11-01,79.77236914
2024-12-01,81.27129334
2025-01-01,80.96201449
2025-02-01,82.07125469
2025-03-01,85.85941588
2025-04-01,83.86290602
2025-05-01,84.79218744
2025-06-01,85.06417614
2025-07-01,83.51878976
2025-08-01,84.2505225
2025-09-01,83.87427161
2025-10-01,83.62820392
2025-11-01,84.98021374
2025-12-01,83.48995007
2026-01-01,83.72307474
2026-02-01,85.68983532
2026-03-01,85.04365043
2026-04-01,85.50276007
2026-05-01,85.7554237
2026-06-01,87.93244877
2026-07-01,89.82971678
2026-08-01,90.76532875
