"tarih","deger"
2012-01-01,1205511
2012-02-01,1088581
2012-03-01,1395775
2012-04-01,1899851
2012-05-01,2702244
2012-06-01,3334309
2012-07-01,5166410
2012-08-01,5597705
2012-09-01,5339422
2012-10-01,4105894
2012-11-01,2264219
2012-12-01,1617416
2013-01-01,1541434
2013-02-01,1488176
2013-03-01,1948675
2013-04-01,2214955
2013-05-01,3490942
2013-06-01,3951418
2013-07-01,5128229
2013-08-01,6270910
2013-09-01,5736221
2013-10-01,4433016
2013-11-01,2303582
2013-12-01,1678770
2014-01-01,1549776
2014-02-01,1492296
2014-03-01,1912774
2014-04-01,2304194
2014-05-01,3516184
2014-06-01,4201077
2014-07-01,5205332
2014-08-01,7022082
2014-09-01,5860873
2014-10-01,4219277
2014-11-01,2278251
2014-12-01,1754720
2015-01-01,1695206
2015-02-01,1486877
2015-03-01,1863380
2015-04-01,2061684
2015-05-01,3010121
2015-06-01,3490765
2015-07-01,5093497
2015-08-01,6653339
2015-09-01,5299640
2015-10-01,3627303
2015-11-01,1918727
2015-12-01,1500384
2016-01-01,1495423
2016-02-01,1265484
2016-03-01,1478317
2016-04-01,1469034
2016-05-01,1999778
2016-06-01,1950192
2016-07-01,3358851
2016-08-01,4410374
2016-09-01,3883212
2016-10-01,2464967
2016-11-01,1474998
2016-12-01,1288379
2017-01-01,1166029
2017-02-01,1023804
2017-03-01,1239735
2017-04-01,1452930
2017-05-01,2039536
2017-06-01,2327395
2017-07-01,4669576
2017-08-01,5820363
2017-09-01,4853034
2017-10-01,3236700
2017-11-01,1822961
2017-12-01,1601773
2018-01-01,1553267
2018-02-01,1338146
2018-03-01,1653954
2018-04-01,2021025
2018-05-01,2695917
2018-06-01,3155250
2018-07-01,4970096
2018-08-01,6086512
2018-09-01,5218529
2018-10-01,3632143
2018-11-01,2002927
2018-12-01,1593143
2019-01-01,1667924
2019-02-01,1423331
2019-03-01,1753166
2019-04-01,2291805
2019-05-01,3026039
2019-06-01,3845610
2019-07-01,6166530
2019-08-01,7472056
2019-09-01,6192897
2019-10-01,4708693
2019-11-01,2436143
2019-12-01,1867585
2020-01-01,2159471
2020-02-01,1760913
2020-03-01,922242
2020-04-01,176696
2020-05-01,197522
2020-06-01,277177
2020-07-01,735797
2020-08-01,2182195
2020-09-01,2613927
2020-10-01,2231222
2020-11-01,1153266
2020-12-01,877380
2021-01-01,853809
2021-02-01,738868
2021-03-01,1076937
2021-04-01,1014665
2021-05-01,883337
2021-06-01,1594258
2021-07-01,4274124
2021-08-01,6292848
2021-09-01,5029437
2021-10-01,4392951
2021-11-01,2351477
2021-12-01,2025630
2022-01-01,2115594
2022-02-01,1802400
2022-03-01,2450564
2022-04-01,2562925
2022-05-01,3611773
2022-06-01,4449306
2022-07-01,6559263
2022-08-01,8166195
2022-09-01,6782835
2022-10-01,5791119
2022-11-01,3371943
2022-12-01,2585018
2023-01-01,3220522
2023-02-01,2468867
2023-03-01,2761391
2023-04-01,3389156
2023-05-01,4388926
2023-06-01,5662093
2023-07-01,6959059
2023-08-01,8510427
2023-09-01,7032645
2023-10-01,5958631
2023-11-01,3372698
2023-12-01,2715196
2024-01-01,3248301
2024-02-01,2691946
2024-03-01,3007642
2024-04-01,3766507
2024-05-01,5273468
2024-06-01,5978968
2024-07-01,7478639
2024-08-01,8758815
2024-09-01,7111097
2024-10-01,6708147
2024-11-01,3985176
2024-12-01,3094712
2025-01-01,3512648
2025-02-01,2910621
2025-03-01,3070447
2025-04-01,4257568
2025-05-01,5554400
2025-06-01,6472354
2025-07-01,7625284
2025-08-01,9099846
2025-09-01,7575738
2025-10-01,7361004
2025-11-01,4365859
2025-12-01,3424979
2026-01-01,3843817
2026-02-01,2942136
2026-03-01,3110504
