"tarih","deger"
2000-01-01,28.87173823
2000-02-01,30.04784103
2000-03-01,30.97852027
2000-04-01,31.71892731
2000-05-01,32.2566531
2000-06-01,32.3517892
2000-07-01,32.68407616
2000-08-01,32.99430257
2000-09-01,33.75677015
2000-10-01,34.69985845
2000-11-01,35.53402281
2000-12-01,36.20686943
2001-01-01,37.04517014
2001-02-01,38.02134925
2001-03-01,41.84609624
2001-04-01,47.85483717
2001-05-01,50.8716167
2001-06-01,52.3331278
2001-07-01,54.05660788
2001-08-01,55.97173894
2001-09-01,58.96645792
2001-10-01,62.93459844
2001-11-01,65.568076
2001-12-01,68.27325033
2002-01-01,71.10940914
2002-02-01,72.93078288
2002-03-01,74.2875064
2002-04-01,75.63319964
2002-05-01,75.94894119
2002-06-01,76.82584785
2002-07-01,78.87609975
2002-08-01,80.55959509
2002-09-01,83.06622451
2002-10-01,85.66799003
2002-11-01,87.06056194
2002-12-01,89.32866172
2003-01-01,94.31848123
2003-02-01,97.28286696
2003-03-01,100.40029772
2003-04-01,102.16789889
2003-05-01,101.53365822
2003-06-01,99.57854242
2003-07-01,99.04495299
2003-08-01,98.85054444
2003-09-01,98.90431702
2003-10-01,99.45720942
2003-11-01,101.15035625
2003-12-01,101.78321813
2004-01-01,104.46357435
2004-02-01,106.17464537
2004-03-01,108.40276041
2004-04-01,111.27476761
2004-05-01,111.23754044
2004-06-01,110.0641952
2004-07-01,108.3944877
2004-08-01,109.24795504
2004-09-01,111.26373733
2004-10-01,114.85409103
2004-11-01,115.71720985
2004-12-01,115.87025488
2005-01-01,114.83092746
2005-02-01,114.80514419
2005-03-01,117.24628137
2005-04-01,119.61544602
2005-05-01,119.23228193
2005-06-01,119.63916111
2005-07-01,119.33458771
2005-08-01,121.40069563
2005-09-01,123.4044825
2005-10-01,124.21617268
2005-11-01,121.4046941
2005-12-01,121.13638272
2006-01-01,123.51354804
2006-02-01,123.83050342
2006-03-01,124.13755394
2006-04-01,126.54443382
2006-05-01,130.05075267
2006-06-01,135.28051637
2006-07-01,136.44928932
2006-08-01,135.4290892
2006-09-01,135.11213383
2006-10-01,135.72623487
2006-11-01,135.33004065
2006-12-01,135.16165811
2007-01-01,135.09232412
2007-02-01,136.37005048
2007-03-01,137.69730111
2007-04-01,138.79674007
2007-05-01,139.34150712
2007-06-01,139.19293429
2007-07-01,139.28207799
2007-08-01,140.47066065
2007-09-01,141.89695984
2007-10-01,141.70876759
2007-11-01,142.97658909
2007-12-01,143.19449591
2008-01-01,143.7986921
2008-02-01,147.48329834
2008-03-01,152.15839014
2008-04-01,159.00264529
2008-05-01,162.37029615
2008-06-01,162.8952535
2008-07-01,164.92574887
2008-08-01,161.07276008
2008-09-01,159.62665118
2008-10-01,160.53789789
2008-11-01,160.48837361
2008-12-01,154.80298655
2009-01-01,155.15956135
2009-02-01,156.97214991
2009-03-01,157.42777326
2009-04-01,158.44797338
2009-05-01,158.36873453
2009-06-01,159.86436771
2009-07-01,158.73521419
2009-08-01,159.39883951
2009-09-01,160.3794202
2009-10-01,160.83504355
2009-11-01,162.91506321
2009-12-01,163.9847876
2010-01-01,164.93565373
2010-02-01,167.6792987
2010-03-01,170.93799616
2010-04-01,174.95936749
2010-05-01,172.94868182
2010-06-01,172.07705454
2010-07-01,171.80962344
2010-08-01,173.79059454
2010-09-01,174.67212668
2010-10-01,176.7818609
2010-11-01,176.22718899
2010-12-01,178.53502032
2011-01-01,182.75448877
2011-02-01,185.90423281
2011-03-01,188.17244472
2011-04-01,189.32140796
2011-05-01,189.60864877
2011-06-01,189.61855362
2011-07-01,189.56902935
2011-08-01,192.90696565
2011-09-01,195.88832715
2011-10-01,199.02816635
2011-11-01,200.31579756
2011-12-01,202.32648323
2012-01-01,203.09906196
2012-02-01,202.9108697
2012-03-01,203.64382901
2012-04-01,203.81221155
2012-05-01,204.8918408
2012-06-01,201.83124045
2012-07-01,201.1973297
2012-08-01,201.71238219
2012-09-01,203.79240184
2012-10-01,204.14897664
